TimeInterval,Function,HitCount,Percentage,Time(ms),Time/Hit
0,std::_Ref_fn<`anonymous namespace'::ExpirationTimeComparator>::operator()<int &int &>,1,0.0005,0.0549,0.0549
0,b2ParticleSystem::InsideBoundsEnumerator::GetNext,1,0.0005,0.1274,0.1274
0,b2Vec2::Normalize,1,0.0005,0.0502,0.0502
0,b2ParticleSystem::ComputeWeight,1,0.0005,0.0892,0.0892
1,b2Vec2::b2Vec2,21,0.0105,1.5064,0.0717333
1,b2ParticleSystem::AddContact,20,0.01,1.5672,0.07836
1,std::_Debug_lt_pred<std::less<void> &b2ParticleSystem::Proxy &b2ParticleSystem::Proxy &0>,8,0.004,0.7283,0.0910375
1,b2ParticleSystem::SolveDamping,6,0.003,0.4302,0.0717
1,std::less<void>::operator()<b2ParticleSystem::Proxy &b2ParticleSystem::Proxy &>,5,0.0025,0.4046,0.08092
1,b2PolygonShape::ComputeDistance,5,0.0025,0.2512,0.05024
1,b2ParticleSystem::InsideBoundsEnumerator::GetNext,4,0.002,0.286,0.0715
1,`b2ParticleSystem::SolveCollision'::`2'::SolveCollisionCallback::ReportFixtureAndParticle,4,0.002,0.3948,0.0987
1,b2Vec2::operator-=,4,0.002,0.2515,0.062875
1,b2ParticleSystem::SolveCollision,4,0.002,0.3205,0.080125
1,b2PolygonShape::RayCast,3,0.0015,0.1871,0.0623667
1,`b2ParticleSystem::UpdateBodyContacts'::`2'::UpdateBodyContactsCallback::ReportFixtureAndParticle,3,0.0015,0.1947,0.0649
1,b2ParticleSystem::SolvePressure,3,0.0015,0.3031,0.101033
1,b2ParticleSystem::FindContacts_Reference,3,0.0015,0.243,0.081
1,b2ParticleSystem::ComputeWeight,3,0.0015,0.2019,0.0673
1,b2ParticleContact::GetIndexA,3,0.0015,0.2398,0.0799333
1,b2ParticleContact::SetNormal,2,0.001,0.1592,0.0796
1,b2ParticleContact::GetWeight,2,0.001,0.1439,0.07195
1,b2ParticleSystem::ComputeAABB,1,0.0005,0.08,0.08
1,b2Vec2::Normalize,1,0.0005,0.0917,0.0917
1,b2Vec2::Length,1,0.0005,0.0967,0.0967
1,b2GrowableBuffer<b2ParticleContact>::GetCount,1,0.0005,0.0382,0.0382
1,std::swap<b2ParticleSystem::Proxy0>,1,0.0005,0.1155,0.1155
1,b2Vec2::operator+=,1,0.0005,0.0649,0.0649
1,b2FixtureParticleQueryCallback::ReportFixture,1,0.0005,0.0963,0.0963
1,b2ParticleContact::SetWeight,1,0.0005,0.0649,0.0649
1,std::_Med3_unchecked<b2ParticleSystem::Proxy *std::less<void> >,1,0.0005,0.0945,0.0945
1,GLUI_Node::first_child,1,0.0005,0.0363,0.0363
1,b2Fixture::GetShape,1,0.0005,0.1333,0.1333
1,b2ParticleSystem::UpdateProxies_Reference,1,0.0005,0.0422,0.0422
2,std::less<void>::operator()<b2ParticleSystem::Proxy const &unsigned int const &>,2,0.001,0.3402,0.1701
2,b2ParticleSystem::SolvePressure,1,0.0005,0.1306,0.1306
2,std::move<b2ParticleSystem::Proxy &>,1,0.0005,0.219,0.219
2,b2ParticleSystem::ComputeWeight,1,0.0005,0.1507,0.1507
2,b2ParticleContact::GetIndexB,1,0.0005,0.1272,0.1272
2,b2GrowableStack<int256>::Pop,1,0.0005,0.0962,0.0962
2,TestMain::GetParticleParameterValue,1,0.0005,0.1251,0.1251
2,b2ParticleSystem::AddContact,1,0.0005,0.0678,0.0678
2,`b2ParticleSystem::UpdateBodyContacts'::`2'::UpdateBodyContactsCallback::UpdateBodyContactsCallback,1,0.0005,0.0981,0.0981
2,b2ParticleSystem::UpdateProxies_Reference,1,0.0005,0.0908,0.0908
2,b2ParticleSystem::ComputeAABB,1,0.0005,0.1796,0.1796
2,std::_Get_unwrapped<int * const &>,1,0.0005,0.0921,0.0921
2,b2ParticleContact::SetNormal,1,0.0005,0.2147,0.2147
3,std::_Insertion_sort_unchecked<b2ParticleSystem::Proxy *std::less<void> >,2,0.001,0.3817,0.19085
3,b2GrowableStack<int256>::~b2GrowableStack<int256>,1,0.0005,0.0955,0.0955
3,b2Contact::Update,1,0.0005,0.114,0.114
3,b2Timer::b2Timer,1,0.0005,0.2036,0.2036
3,b2ContactManager::Collide,1,0.0005,0.2194,0.2194
3,b2PolygonShape::ComputeDistance,1,0.0005,0.0851,0.0851
3,std::_Debug_lt_pred<std::less<void> &b2ParticleSystem::Proxy &b2ParticleSystem::Proxy &0>,1,0.0005,0.146,0.146
3,GLUI_Master_Object::get_viewport_area,1,0.0005,0.0998,0.0998
3,b2WorldManifold::Initialize,1,0.0005,0.1654,0.1654
3,b2ContactSolver::SolvePositionConstraints,1,0.0005,0.1497,0.1497
4,b2ParticleSystem::AddContact,21,0.0105,1.7551,0.0835762
4,b2Vec2::b2Vec2,19,0.0095,1.3565,0.0713947
4,b2ParticleSystem::SolveDamping,11,0.0055,0.8394,0.0763091
4,b2ParticleSystem::InsideBoundsEnumerator::GetNext,9,0.0045,0.5362,0.0595778
4,std::_Debug_lt_pred<std::less<void> &b2ParticleSystem::Proxy &b2ParticleSystem::Proxy &0>,8,0.004,0.6252,0.07815
4,b2ParticleContact::GetWeight,7,0.0035,0.6857,0.0979571
4,b2ParticleContact::SetNormal,7,0.0035,0.5312,0.0758857
4,std::less<void>::operator()<b2ParticleSystem::Proxy &b2ParticleSystem::Proxy &>,5,0.0025,0.4183,0.08366
4,b2ParticleSystem::SolvePressure,4,0.002,0.396,0.099
4,b2ParticleSystem::SolveCollision,4,0.002,0.2608,0.0652
4,b2Vec2::operator+=,4,0.002,0.3074,0.07685
4,b2ParticleSystem::ComputeAABB,4,0.002,0.2389,0.059725
4,b2Vec2::operator-=,3,0.0015,0.1163,0.0387667
4,std::_Insertion_sort_unchecked<b2ParticleSystem::Proxy *std::less<void> >,3,0.0015,0.2538,0.0846
4,b2ParticleSystem::FindContacts_Reference,3,0.0015,0.2474,0.0824667
4,b2PolygonShape::ComputeDistance,3,0.0015,0.3112,0.103733
4,b2GrowableBuffer<b2ParticleContact>::Append,3,0.0015,0.3008,0.100267
4,b2ParticleContact::GetIndexB,3,0.0015,0.2119,0.0706333
4,b2GrowableBuffer<b2ParticleContact>::GetCount,2,0.001,0.1322,0.0661
4,b2ParticleSystem::ComputeWeight,2,0.001,0.1279,0.06395
4,`b2ParticleSystem::SolveCollision'::`2'::SolveCollisionCallback::ReportFixtureAndParticle,2,0.001,0.1499,0.07495
4,b2ParticleContact::GetIndexA,2,0.001,0.1275,0.06375
4,b2ParticleSystem::LimitVelocity,2,0.001,0.1197,0.05985
4,b2ParticleContact::SetWeight,2,0.001,0.166,0.083
4,`b2ParticleSystem::UpdateBodyContacts'::`2'::UpdateBodyContactsCallback::ReportFixtureAndParticle,1,0.0005,0.0795,0.0795
4,b2PolygonShape::RayCast,1,0.0005,0.0595,0.0595
4,`anonymous namespace'::ExpirationTimeComparator::operator(),1,0.0005,0.0451,0.0451
4,std::move<b2ParticleSystem::Proxy &>,1,0.0005,0.0719,0.0719
4,b2PolygonAndCircleContact::Evaluate,1,0.0005,0.0725,0.0725
4,b2ParticleContact::SetIndices,1,0.0005,0.1114,0.1114
4,`anonymous namespace'::TypedFixedSetAllocator<`anonymous namespace'::LightweightPair<intint> >::TypedFixedSetAllocator<`anonymous namespace'::LightweightPair<intint> >,1,0.0005,0.051,0.051
4,b2Timer::GetTicks,1,0.0005,0.0748,0.0748
4,b2EPCollider::Collide,1,0.0005,0.08,0.08
4,std::_Partition_by_median_guess_unchecked<b2ParticleSystem::Proxy *std::less<void> >,1,0.0005,0.0615,0.0615
4,b2ParticleContact::GetNormal,1,0.0005,0.0566,0.0566
4,b2EdgeShape::ComputeDistance,1,0.0005,0.0529,0.0529
4,b2ParticleSystem::GetNext,1,0.0005,0.0588,0.0588
4,b2Body::IsAwake,1,0.0005,0.0481,0.0481
4,b2FixtureParticleQueryCallback::ReportFixture,1,0.0005,0.1071,0.1071
4,std::_Get_unwrapped<b2ParticleSystem::Proxy * const &>,1,0.0005,0.1202,0.1202
4,b2World::Solve,1,0.0005,0.1228,0.1228
5,b2ParticleSystem::AddContact,20,0.01,1.8808,0.09404
5,b2Vec2::b2Vec2,12,0.006,0.9791,0.0815917
5,std::less<void>::operator()<b2ParticleSystem::Proxy &b2ParticleSystem::Proxy &>,8,0.004,0.6159,0.0769875
5,b2ParticleContact::SetNormal,6,0.003,0.4647,0.07745
5,b2ParticleSystem::SolvePressure,6,0.003,0.471,0.0785
5,b2ParticleSystem::SolveDamping,6,0.003,0.3323,0.0553833
5,std::_Debug_lt_pred<std::less<void> &b2ParticleSystem::Proxy &b2ParticleSystem::Proxy &0>,4,0.002,0.299,0.07475
5,b2ParticleSystem::ComputeWeight,4,0.002,0.3333,0.083325
5,b2ParticleSystem::FindContacts_Reference,3,0.0015,0.194,0.0646667
5,b2ParticleSystem::ComputeAABB,3,0.0015,0.2204,0.0734667
5,b2Vec2::operator+=,3,0.0015,0.2309,0.0769667
5,std::move<b2ParticleSystem::Proxy &>,2,0.001,0.2009,0.10045
5,b2ParticleSystem::InsideBoundsEnumerator::GetNext,2,0.001,0.1551,0.07755
5,`b2ParticleSystem::UpdateBodyContacts'::`2'::UpdateBodyContactsCallback::ReportFixtureAndParticle,2,0.001,0.1428,0.0714
5,b2ParticleSystem::PrepareForceBuffer,2,0.001,0.1811,0.09055
5,std::_Insertion_sort_unchecked<b2ParticleSystem::Proxy *std::less<void> >,1,0.0005,0.1114,0.1114
5,b2ParticleContact::GetIndexB,1,0.0005,0.0569,0.0569
5,b2Vec2::operator-,1,0.0005,0.0518,0.0518
5,b2ParticleSystem::UpdateProxies_Reference,1,0.0005,0.1207,0.1207
5,b2Vec2::operator-=,1,0.0005,0.0575,0.0575
5,b2GrowableBuffer<b2ParticleContact>::operator[],1,0.0005,0.0386,0.0386
5,b2ContactManager::Collide,1,0.0005,0.0731,0.0731
5,b2Vec2::b2Vec2,1,0.0005,0.2014,0.2014
5,b2EdgeShape::ComputeDistance,1,0.0005,0.0409,0.0409
5,b2World::SetContinuousPhysics,1,0.0005,0.2435,0.2435
5,b2GrowableStack<int256>::Push,1,0.0005,0.1943,0.1943
5,b2ParticleSystem::SolveCollision,1,0.0005,0.0472,0.0472
5,b2Vec2::Length,1,0.0005,0.0955,0.0955
5,b2PolygonShape::ComputeDistance,1,0.0005,0.0884,0.0884
5,GLUI_Master_Object::get_viewport_area,1,0.0005,0.097,0.097
5,Faucet::Step,1,0.0005,0.2206,0.2206
5,b2ParticleContact::SetFlags,1,0.0005,0.0849,0.0849
5,std::_Partition_by_median_guess_unchecked<b2ParticleSystem::Proxy *std::less<void> >,1,0.0005,0.0491,0.0491
5,b2Fixture::GetShape,1,0.0005,0.0864,0.0864
5,b2ParticleSystem::UpdateContacts,1,0.0005,0.0748,0.0748
5,std::swap<b2ParticleSystem::Proxy0>,1,0.0005,0.0994,0.0994
5,b2ParticleSystem::SolveForce,1,0.0005,0.0652,0.0652
5,b2ParticleContact::GetWeight,1,0.0005,0.0976,0.0976
6,`anonymous namespace'::ExpirationTimeComparator::operator(),3,0.0015,0.3787,0.126233
6,std::_Insertion_sort_unchecked<int *std::_Ref_fn<`anonymous namespace'::ExpirationTimeComparator> >,2,0.001,0.168,0.084
6,`b2ParticleSystem::UpdateBodyContacts'::`2'::UpdateBodyContactsCallback::ReportFixtureAndParticle,1,0.0005,0.0859,0.0859
6,std::_Ref_fn<`anonymous namespace'::ExpirationTimeComparator>::operator()<int &int &>,1,0.0005,0.1402,0.1402
6,b2World::SolveTOI,1,0.0005,0.1969,0.1969
6,std::forward<int &>,1,0.0005,0.0782,0.0782
6,std::_Next_iter<int *>,1,0.0005,0.1583,0.1583
6,Faucet::Step,1,0.0005,0.1738,0.1738
6,b2GrowableStack<int256>::b2GrowableStack<int256>,1,0.0005,0.222,0.222
6,b2Timer::GetTicks,1,0.0005,0.2067,0.2067
6,b2ParticleSystem::Solve,1,0.0005,0.1031,0.1031
6,b2ParticleSystem::ComputeAABB,1,0.0005,0.1023,0.1023
6,b2ParticleContact::SetWeight,1,0.0005,0.1967,0.1967
6,b2ParticleSystem::FindContacts_Reference,1,0.0005,0.1026,0.1026
6,b2Draw::SetFlags,1,0.0005,0.2439,0.2439
6,b2PolygonShape::ComputeDistance,1,0.0005,0.0858,0.0858
7,`anonymous namespace'::ExpirationTimeComparator::operator(),8,0.004,1.1568,0.1446
7,b2PolygonShape::RayCast,3,0.0015,0.5472,0.1824
7,b2PolygonShape::ComputeDistance,2,0.001,0.1794,0.0897
7,std::less<void>::operator()<b2ParticleSystem::Proxy &b2ParticleSystem::Proxy &>,1,0.0005,0.1585,0.1585
7,`b2ParticleSystem::UpdateBodyContacts'::`2'::UpdateBodyContactsCallback::ReportFixtureAndParticle,1,0.0005,0.059,0.059
7,b2RayCastOutput::b2RayCastOutput,1,0.0005,0.1044,0.1044
7,std::_Partition_by_median_guess_unchecked<int *std::_Ref_fn<`anonymous namespace'::ExpirationTimeComparator> >,1,0.0005,0.2562,0.2562
7,b2ParticleSystem::ComputeWeight,1,0.0005,0.0529,0.0529
7,b2ParticleSystem::AddContact,1,0.0005,0.0678,0.0678
7,std::_Debug_lt_pred<std::_Ref_fn<`anonymous namespace'::ExpirationTimeComparator> &int &int &0>,1,0.0005,0.1968,0.1968
7,std::_Med3_unchecked<int *std::_Ref_fn<`anonymous namespace'::ExpirationTimeComparator> >,1,0.0005,0.1239,0.1239
7,b2ParticleSystem::SetStrictContactCheck,1,0.0005,0.2036,0.2036
7,std::iter_swap<int *int *>,1,0.0005,0.1375,0.1375
7,b2ParticleSystem::SolvePressure,1,0.0005,0.3935,0.3935
7,std::_Debug_lt_pred<std::less<void> &b2ParticleSystem::Proxy &b2ParticleSystem::Proxy &0>,1,0.0005,0.1784,0.1784
7,b2Vec2::b2Vec2,1,0.0005,0.0642,0.0642
7,b2ParticleSystem::Solve,1,0.0005,0.2004,0.2004
7,GLUI_Master_Object::get_viewport_area,1,0.0005,0.1467,0.1467
7,std::_Insertion_sort_unchecked<b2ParticleSystem::Proxy *std::less<void> >,1,0.0005,0.2017,0.2017
8,`anonymous namespace'::ExpirationTimeComparator::operator(),10,0.005,1.3529,0.13529
8,b2Vec2::b2Vec2,4,0.002,0.3828,0.0957
8,TestMain::SimulationLoop,2,0.001,0.3225,0.16125
8,b2ParticleContact::GetWeight,2,0.001,0.2285,0.11425
8,b2ParticleSystem::SolvePressure,2,0.001,0.2169,0.10845
8,std::_Ref_fn<`anonymous namespace'::ExpirationTimeComparator>::operator()<int &int &>,1,0.0005,0.1484,0.1484
8,`b2ParticleSystem::SolveCollision'::`2'::SolveCollisionCallback::ReportFixtureAndParticle,1,0.0005,0.0365,0.0365
8,b2ParticleSystem::GetRadius,1,0.0005,0.127,0.127
8,std::forward<int &>,1,0.0005,0.1515,0.1515
8,std::_Partition_by_median_guess_unchecked<int *std::_Ref_fn<`anonymous namespace'::ExpirationTimeComparator> >,1,0.0005,0.052,0.052
8,b2ParticleSystem::SolveLifetimes,1,0.0005,0.1542,0.1542
8,b2ParticleSystem::SolveCollision,1,0.0005,0.1582,0.1582
8,b2Timer::b2Timer,1,0.0005,0.046,0.046
8,`b2ParticleSystem::UpdateBodyContacts'::`2'::UpdateBodyContactsCallback::ReportFixtureAndParticle,1,0.0005,0.0696,0.0696
8,b2Vec2::operator+=,1,0.0005,0.1356,0.1356
8,b2Draw::SetFlags,1,0.0005,0.2102,0.2102
8,b2ParticleSystem::FindContacts_Reference,1,0.0005,0.0961,0.0961
8,b2PolygonShape::ComputeDistance,1,0.0005,0.0797,0.0797
8,b2PolygonShape::RayCast,1,0.0005,0.0457,0.0457
8,std::_Insertion_sort_unchecked<b2ParticleSystem::Proxy *std::less<void> >,1,0.0005,0.1445,0.1445
9,`anonymous namespace'::ExpirationTimeComparator::operator(),9,0.0045,0.8463,0.0940333
9,b2Vec2::b2Vec2,4,0.002,0.3444,0.0861
9,b2ParticleContact::GetWeight,4,0.002,0.3978,0.09945
9,`b2ParticleSystem::UpdateBodyContacts'::`2'::UpdateBodyContactsCallback::ReportFixtureAndParticle,3,0.0015,0.2971,0.0990333
9,std::swap<int0>,2,0.001,0.2401,0.12005
9,std::_Debug_lt_pred<std::_Ref_fn<`anonymous namespace'::ExpirationTimeComparator> &int &int &0>,2,0.001,0.3359,0.16795
9,b2Vec2::operator+=,2,0.001,0.3283,0.16415
9,b2ParticleSystem::AddContact,2,0.001,0.1625,0.08125
9,b2ParticleSystem::SolveCollision,1,0.0005,0.1111,0.1111
9,b2PolygonShape::GetChildCount,1,0.0005,0.0908,0.0908
9,b2ParticleContact::GetIndexB,1,0.0005,0.041,0.041
9,b2Vec2::Set,1,0.0005,0.0512,0.0512
9,b2Draw::SetFlags,1,0.0005,0.2199,0.2199
9,b2World::Step,1,0.0005,0.1382,0.1382
9,b2ParticleSystem::SolvePressure,1,0.0005,0.1018,0.1018
9,b2Vec2::operator-=,1,0.0005,0.158,0.158
9,std::_Partition_by_median_guess_unchecked<b2ParticleSystem::Proxy *std::less<void> >,1,0.0005,0.1096,0.1096
9,std::less<void>::operator()<b2ParticleSystem::Proxy &b2ParticleSystem::Proxy &>,1,0.0005,0.1582,0.1582
9,std::_Adl_verify_range<b2ParticleSystem::Proxy const *b2ParticleSystem::Proxy const *>,1,0.0005,0.0862,0.0862
9,b2ParticleSystem::ComputeWeight,1,0.0005,0.1419,0.1419
9,b2ParticleSystem::InsideBoundsEnumerator::GetNext,1,0.0005,0.1527,0.1527
9,b2ParticleContact::SetWeight,1,0.0005,0.0774,0.0774
9,b2ParticleSystem::SolveDamping,1,0.0005,0.0564,0.0564
9,std::move<b2ParticleSystem::Proxy &>,1,0.0005,0.1096,0.1096
10,`anonymous namespace'::ExpirationTimeComparator::operator(),9,0.0045,1.0121,0.112456
10,b2Vec2::b2Vec2,8,0.004,0.5231,0.0653875
10,b2ParticleSystem::AddContact,4,0.002,0.3529,0.088225
10,b2ParticleSystem::InsideBoundsEnumerator::GetNext,3,0.0015,0.2455,0.0818333
10,b2ParticleContact::GetWeight,2,0.001,0.1314,0.0657
10,b2ParticleSystem::SolvePressure,2,0.001,0.2381,0.11905
10,std::_Ref_fn<`anonymous namespace'::ExpirationTimeComparator>::operator()<int &int &>,2,0.001,0.141,0.0705
10,b2ParticleSystem::ComputeAABB,2,0.001,0.3042,0.1521
10,std::less<void>::operator()<b2ParticleSystem::Proxy &b2ParticleSystem::Proxy &>,1,0.0005,0.0339,0.0339
10,b2Fixture::ComputeDistance,1,0.0005,0.0783,0.0783
10,std::forward<int * &>,1,0.0005,0.0933,0.0933
10,b2World::Solve,1,0.0005,0.0591,0.0591
10,b2Body::GetMass,1,0.0005,0.1757,0.1757
10,b2ParticleSystem::Solve,1,0.0005,0.1864,0.1864
10,b2ParticleSystem::SetStrictContactCheck,1,0.0005,0.1476,0.1476
10,std::lower_bound<b2ParticleSystem::Proxy const *unsigned intstd::less<void> >,1,0.0005,0.1343,0.1343
10,b2ParticleSystem::SolveDamping,1,0.0005,0.0425,0.0425
10,std::_Prev_iter<b2ParticleSystem::Proxy *>,1,0.0005,0.0794,0.0794
10,b2ParticleSystem::SolveCollision,1,0.0005,0.08,0.08
10,b2ParticleSystem::ComputeWeight,1,0.0005,0.0717,0.0717
10,b2ParticleContact::SetNormal,1,0.0005,0.0597,0.0597
10,b2PolygonShape::RayCast,1,0.0005,0.0693,0.0693
10,b2PolygonShape::ComputeDistance,1,0.0005,0.076,0.076
